level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1413	2000	-1	
2	1	1	0	0	0	418	45	741	1852	-1	
3	1	1	1	0	0	418	45	741	1852	-1	
4	1	1	1	1	0	485	45	332	27	-1	
5	1	1	1	1	1	485	45	332	27	0	ritemrate300.00,
4	1	1	1	2	0	485	91	353	27	-1	
5	1	1	1	2	1	485	91	353	27	0	itemquantity1.00
4	1	1	1	3	0	418	137	23	22	-1	
5	1	1	1	3	1	418	137	23	22	36	Ty
4	1	1	1	4	0	419	183	6	22	-1	
5	1	1	1	4	1	419	183	6	22	0	f
4	1	1	1	5	0	485	227	674	27	-1	
5	1	1	1	5	1	485	227	674	27	0	ritemnameLiverFunctionTest(LFT),
4	1	1	1	6	0	485	273	366	27	-1	
5	1	1	1	6	1	485	273	366	27	0	ritemamount400.00,
4	1	1	1	7	0	485	320	332	26	-1	
5	1	1	1	7	1	485	320	332	26	0	ritemrate400.00,
4	1	1	1	8	0	485	365	353	26	-1	
5	1	1	1	8	1	485	365	353	26	0	ritemquantity1.00
4	1	1	1	9	0	418	411	23	23	-1	
5	1	1	1	9	1	418	411	23	23	38	ty
4	1	1	1	10	0	485	501	366	27	-1	
5	1	1	1	10	1	485	501	366	27	0	ritemnamePTINR,
4	1	1	1	11	0	485	548	366	27	-1	
5	1	1	1	11	1	485	548	366	27	0	ritemamount150.00,
4	1	1	1	12	0	485	593	332	26	-1	
5	1	1	1	12	1	485	593	332	26	0	ritemrate150.00,
4	1	1	1	13	0	485	639	353	27	-1	
5	1	1	1	13	1	485	639	353	27	0	ritemquantity1.00
4	1	1	1	14	0	419	684	21	22	-1	
5	1	1	1	14	1	419	684	21	22	0	h,
4	1	1	1	15	0	419	731	6	22	-1	
5	1	1	1	15	1	419	731	6	22	0	f
4	1	1	1	16	0	485	775	383	28	-1	
5	1	1	1	16	1	485	775	383	28	0	ritemnamePusC/S,
4	1	1	1	17	0	485	821	366	27	-1	
5	1	1	1	17	1	485	821	366	27	0	ritemamount230.00,
4	1	1	1	18	0	485	867	332	27	-1	
5	1	1	1	18	1	485	867	332	27	0	ritemrate230.00,
4	1	1	1	19	0	485	911	353	27	-1	
5	1	1	1	19	1	485	911	353	27	0	ritemquantity1.00
4	1	1	1	20	0	419	959	22	22	-1	
5	1	1	1	20	1	419	959	22	22	0	h,
4	1	1	1	21	0	419	1003	6	22	-1	
5	1	1	1	21	1	419	1003	6	22	0	f
4	1	1	1	22	0	485	1049	315	27	-1	
5	1	1	1	22	1	485	1049	315	27	0	ritemnameRBS,
4	1	1	1	23	0	485	1095	349	27	-1	
5	1	1	1	23	1	485	1095	349	27	0	ritemamount30.00,
4	1	1	1	24	0	485	1140	315	27	-1	
5	1	1	1	24	1	485	1140	315	27	0	ritemrate30.00,
4	1	1	1	25	0	485	1186	353	27	-1	
5	1	1	1	25	1	485	1186	353	27	0	ritemquantity1.00
4	1	1	1	26	0	419	1231	21	23	-1	
5	1	1	1	26	1	419	1231	21	23	10	hy
4	1	1	1	27	0	419	1277	6	22	-1	
5	1	1	1	27	1	419	1277	6	22	0	f
4	1	1	1	28	0	485	1324	315	26	-1	
5	1	1	1	28	1	485	1324	315	26	0	ritemnameRFET,
4	1	1	1	29	0	485	1368	366	27	-1	
5	1	1	1	29	1	485	1368	366	27	0	ritemamount290.00,
4	1	1	1	30	0	485	1414	332	27	-1	
5	1	1	1	30	1	485	1414	332	27	0	ritemrate290.00,
4	1	1	1	31	0	485	1459	353	27	-1	
5	1	1	1	31	1	485	1459	353	27	0	ritemquantity1.00
4	1	1	1	32	0	419	1506	21	22	-1	
5	1	1	1	32	1	419	1506	21	22	0	,
4	1	1	1	33	0	419	1552	6	22	-1	
5	1	1	1	33	1	419	1552	6	22	0	f
4	1	1	1	34	0	485	1596	315	27	-1	
5	1	1	1	34	1	485	1596	315	27	0	ritemnameTSH,
4	1	1	1	35	0	485	1642	366	27	-1	
5	1	1	1	35	1	485	1642	366	27	0	ritemamount190.00,
4	1	1	1	36	0	485	1687	332	27	-1	
5	1	1	1	36	1	485	1687	332	27	0	ritemrate190.00,
4	1	1	1	37	0	485	1733	353	27	-1	
5	1	1	1	37	1	485	1733	353	27	0	itemquantity1.00
4	1	1	1	38	0	419	1780	21	23	-1	
5	1	1	1	38	1	419	1780	21	23	0	h,
4	1	1	1	39	0	419	1825	6	22	-1	
5	1	1	1	39	1	419	1825	6	22	0	f
4	1	1	1	40	0	485	1870	400	27	-1	
5	1	1	1	40	1	485	1870	400	27	0	ritemnameChestPA,
