level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1413	2000	-1	
2	1	1	0	0	0	418	45	570	1852	-1	
3	1	1	1	0	0	485	45	353	27	-1	
4	1	1	1	1	0	485	45	353	27	-1	
5	1	1	1	1	1	485	45	353	27	0	ritemquantity3.00
3	1	1	2	0	0	419	92	21	23	-1	
4	1	1	2	1	0	419	92	21	23	-1	
5	1	1	2	1	1	419	92	21	23	0	),
3	1	1	3	0	0	419	137	419	209	-1	
4	1	1	3	1	0	419	137	6	22	-1	
5	1	1	3	1	1	419	137	6	22	0	f
4	1	1	3	2	0	485	183	298	27	-1	
5	1	1	3	2	1	485	183	298	27	0	ritemnameBT,
4	1	1	3	3	0	485	227	349	27	-1	
5	1	1	3	3	1	485	227	349	27	0	ritemamount50.00,
4	1	1	3	4	0	485	273	315	27	-1	
5	1	1	3	4	1	485	273	315	27	0	ritemrate50.00,
4	1	1	3	5	0	485	320	353	26	-1	
5	1	1	3	5	1	485	320	353	26	0	ritemquantity1.00
3	1	1	4	0	0	419	365	21	23	-1	
4	1	1	4	1	0	419	365	21	23	-1	
5	1	1	4	1	1	419	365	21	23	0	),
3	1	1	5	0	0	419	411	483	208	-1	
4	1	1	5	1	0	419	411	6	22	-1	
5	1	1	5	1	1	419	411	6	22	0	f
4	1	1	5	2	0	485	454	417	28	-1	
5	1	1	5	2	1	485	454	417	28	0	itemnameBloodR/E,
4	1	1	5	3	0	485	501	366	27	-1	
5	1	1	5	3	1	485	501	366	27	0	itemamount260.00,
4	1	1	5	4	0	485	548	332	27	-1	
5	1	1	5	4	1	485	548	332	27	0	ritemrate260.00,
4	1	1	5	5	0	485	593	353	26	-1	
5	1	1	5	5	1	485	593	353	26	0	ritemquantity1.00
3	1	1	6	0	0	418	639	420	255	-1	
4	1	1	6	1	0	418	639	23	23	-1	
5	1	1	6	1	1	418	639	23	23	44	lr
4	1	1	6	2	0	485	730	298	27	-1	
5	1	1	6	2	1	485	730	298	27	0	ritemnameCT,
4	1	1	6	3	0	485	776	349	27	-1	
5	1	1	6	3	1	485	776	349	27	0	ritemamount90.00,
4	1	1	6	4	0	485	821	315	27	-1	
5	1	1	6	4	1	485	821	315	27	0	ritemrate90.00,
4	1	1	6	5	0	485	867	353	27	-1	
5	1	1	6	5	1	485	867	353	27	0	ritemquantity1.00
3	1	1	7	0	0	419	912	21	22	-1	
4	1	1	7	1	0	419	912	21	22	-1	
5	1	1	7	1	1	419	912	21	22	35	he
3	1	1	8	0	0	419	959	466	208	-1	
4	1	1	8	1	0	419	959	6	22	-1	
5	1	1	8	1	1	419	959	6	22	0	f
4	1	1	8	2	0	485	1003	400	26	-1	
5	1	1	8	2	1	485	1003	400	26	0	ritemnameGroupRH,
4	1	1	8	3	0	485	1049	366	27	-1	
5	1	1	8	3	1	485	1049	366	27	0	ritemamount100.00,
4	1	1	8	4	0	485	1095	332	27	-1	
5	1	1	8	4	1	485	1095	332	27	0	ritemrate100.00,
4	1	1	8	5	0	485	1140	353	27	-1	
5	1	1	8	5	1	485	1140	353	27	0	ritemquantity1.00
3	1	1	9	0	0	419	1187	22	22	-1	
4	1	1	9	1	0	419	1187	22	22	-1	
5	1	1	9	1	1	419	1187	22	22	61	hy
3	1	1	10	0	0	419	1231	535	210	-1	
4	1	1	10	1	0	419	1231	6	22	-1	
5	1	1	10	1	1	419	1231	6	22	0	f
4	1	1	10	2	0	485	1277	469	27	-1	
5	1	1	10	2	1	485	1277	469	27	0	ritemnameHBsAg(CMIA),
4	1	1	10	3	0	485	1324	366	26	-1	
5	1	1	10	3	1	485	1324	366	26	0	ritemamount150.00,
4	1	1	10	4	0	485	1368	332	27	-1	
5	1	1	10	4	1	485	1368	332	27	0	ritemrate150.00,
4	1	1	10	5	0	485	1414	353	27	-1	
5	1	1	10	5	1	485	1414	353	27	0	ritemquantity1.00
3	1	1	11	0	0	419	1459	22	23	-1	
4	1	1	11	1	0	419	1459	22	23	-1	
5	1	1	11	1	1	419	1459	22	23	0	h,
3	1	1	12	0	0	419	1506	500	208	-1	
4	1	1	12	1	0	419	1506	6	22	-1	
5	1	1	12	1	1	419	1506	6	22	0	f
4	1	1	12	2	0	485	1552	434	26	-1	
5	1	1	12	2	1	485	1552	434	26	0	ritemnameHCV(CIMA),
4	1	1	12	3	0	485	1596	366	27	-1	
5	1	1	12	3	1	485	1596	366	27	0	ritemamount360.00,
4	1	1	12	4	0	485	1642	332	27	-1	
5	1	1	12	4	1	485	1642	332	27	0	ritemrate360.00,
4	1	1	12	5	0	485	1687	353	27	-1	
5	1	1	12	5	1	485	1687	353	27	0	ritemquantity1.00
3	1	1	13	0	0	419	1734	21	23	-1	
4	1	1	13	1	0	419	1734	21	23	-1	
5	1	1	13	1	1	419	1734	21	23	0	),
3	1	1	14	0	0	419	1780	569	117	-1	
4	1	1	14	1	0	419	1780	6	22	-1	
5	1	1	14	1	1	419	1780	6	22	0	f
4	1	1	14	2	0	485	1824	503	27	-1	
5	1	1	14	2	1	485	1824	503	27	0	ritemnameHIV12(CMIA),
4	1	1	14	3	0	485	1870	366	27	-1	
5	1	1	14	3	1	485	1870	366	27	0	ritemamount300.00,
