level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	107	57	2263	3012	-1	
3	1	1	1	0	0	107	57	2337	3012	-1	
4	1	1	1	1	0	112	57	1425	103	-1	
5	1	1	1	1	1	112	103	120	57	25	ei
5	1	1	1	1	2	1181	57	356	61	0	MEDICOS
4	1	1	1	2	0	1076	312	980	43	-1	
5	1	1	1	2	1	1076	312	318	43	0	CASHMemo(IPD)
5	1	1	1	2	2	2048	335	8	2	0	,
4	1	1	1	3	0	116	518	2230	120	-1	
5	1	1	1	3	1	116	577	130	61	0	NSO
5	1	1	1	3	2	262	518	2084	91	0	osn0.MiANNacaiellbeie
4	1	1	1	4	0	119	625	2233	105	-1	
5	1	1	1	4	1	119	681	57	41	25	Eat
5	1	1	1	4	2	194	676	53	54	11	1h
5	1	1	1	4	3	277	670	303	31	0	3004D2372509A
5	1	1	1	4	4	719	653	566	37	0	07/27ERIDOT1.5GM(CEFTRIAXONE
5	1	1	1	4	5	1585	639	209	30	0	3999.00
5	1	1	1	4	6	1880	637	54	23	90	0.00
5	1	1	1	4	7	2112	630	100	25	92	5997.00
5	1	1	1	4	8	2320	625	32	24	96	12
4	1	1	1	5	0	114	660	2238	102	-1	
5	1	1	1	5	1	114	711	498	51	0	ept),)3004BM14D2503A
5	1	1	1	5	2	720	696	576	37	0	07/27.FLUTECH2GM(FLUCLOXACIL
5	1	1	1	5	3	1586	680	348	32	0	21999.000.00
5	1	1	1	5	4	2113	660	99	51	90	3998.00
5	1	1	1	5	5	2322	667	30	24	96	12
4	1	1	1	6	0	122	700	2232	118	-1	
5	1	1	1	6	1	122	757	58	54	36	a
5	1	1	1	6	2	196	760	54	58	41	Al
5	1	1	1	6	3	281	756	301	32	0	3004-D0892404A
5	1	1	1	6	4	721	738	573	37	0	06/26ZONEG1200MG(GLUTATHION
5	1	1	1	6	5	1586	724	210	30	0	22450.00
5	1	1	1	6	6	1882	712	54	49	96	0.00
5	1	1	1	6	7	2113	705	101	49	77	4900.00
5	1	1	1	6	8	2334	700	20	49	35	0)
4	1	1	1	7	0	122	752	2233	94	-1	
5	1	1	1	7	1	122	798	444	48	0	Hait,9018SN312292
5	1	1	1	7	2	723	784	443	34	0	02/27EMESET2MG2MLINJ.
5	1	1	1	7	3	1589	771	15	26	96	3
5	1	1	1	7	4	1721	764	217	29	0	13.350.00
5	1	1	1	7	5	2145	756	70	24	74	40.08
5	1	1	1	7	6	2324	752	31	24	96	12
4	1	1	1	8	0	118	795	2238	102	-1	
5	1	1	1	8	1	118	824	37	73	19	is
5	1	1	1	8	2	166	839	433	46	0	Hras3004D24AM020G
5	1	1	1	8	3	724	828	390	32	0	09/26ESOMAN40MGINJ
5	1	1	1	8	4	1589	814	16	25	95	2
5	1	1	1	8	5	1702	809	96	26	96	430.00
5	1	1	1	8	6	1884	807	55	23	96	0.00
5	1	1	1	8	7	2132	800	85	24	85	860,00
5	1	1	1	8	8	2326	795	30	24	96	12
4	1	1	1	9	0	118	837	2240	107	-1	
5	1	1	1	9	1	118	884	63	48	23	nee
5	1	1	1	9	2	209	900	18	44	31	ii
5	1	1	1	9	3	250	890	93	32	0	3002
5	1	1	1	9	4	420	883	140	27	60	T393L619
5	1	1	1	9	5	725	870	392	33	0	08/26NEQMOLIV100ML
5	1	1	1	9	6	1592	857	10	23	77	1
