level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	791	1024	-1	
2	1	1	0	0	0	31	97	731	896	-1	
3	1	1	1	0	0	31	97	731	896	-1	
4	1	1	1	1	0	39	97	694	17	-1	
5	1	1	1	1	1	39	106	5	8	45	i
5	1	1	1	1	2	302	97	182	16	32	ee
4	1	1	1	2	0	91	166	644	18	-1	
5	1	1	1	2	1	91	171	76	13	27	Goa
5	1	1	1	2	2	229	169	148	15	0	Grtenipe
5	1	1	1	2	3	433	168	19	3	32	Zz
5	1	1	1	2	4	488	167	110	15	5	me
5	1	1	1	2	5	648	166	87	13	29	im
4	1	1	1	3	0	62	212	673	22	-1	
5	1	1	1	3	1	62	216	342	18	0	fesoetcaeSEmunrenisanieinac
5	1	1	1	3	2	497	214	108	9	28	iim
5	1	1	1	3	3	665	212	70	9	22	mx
4	1	1	1	4	0	63	238	672	16	-1	
5	1	1	1	4	1	63	245	116	9	0	eoxnxicae
5	1	1	1	4	2	231	242	133	10	0	riMiaTaNacR
5	1	1	1	4	3	497	240	108	9	0	hee
5	1	1	1	4	4	670	238	65	9	27	ato
4	1	1	1	5	0	59	347	703	28	-1	
5	1	1	1	5	1	59	358	116	17	26	er
5	1	1	1	5	2	232	361	87	8	0	xcasL
5	1	1	1	5	3	498	358	108	8	25	ze)
5	1	1	1	5	4	677	347	85	22	23	a
4	1	1	1	6	0	100	369	636	13	-1	
5	1	1	1	6	1	100	378	8	4	40	a
5	1	1	1	6	2	142	376	9	6	27	a
5	1	1	1	6	3	232	374	87	7	15	LDS.
5	1	1	1	6	4	501	376	3	3	69	5
5	1	1	1	6	5	540	371	66	9	24	ant
5	1	1	1	6	6	671	372	23	7	21	Pd
5	1	1	1	6	7	731	369	5	9	79	5
4	1	1	1	7	0	93	455	642	20	-1	
5	1	1	1	7	1	93	459	295	11	25	es
5	1	1	1	7	2	510	456	49	19	8	at
5	1	1	1	7	3	705	455	30	20	33	ber
4	1	1	1	8	0	71	468	689	28	-1	
5	1	1	1	8	1	71	471	318	25	30	ae
5	1	1	1	8	2	509	478	48	9	0	aaTar
5	1	1	1	8	3	705	468	55	20	0	me
4	1	1	1	9	0	82	487	653	14	-1	
5	1	1	1	9	1	82	490	306	11	8	er
5	1	1	1	9	2	480	488	79	10	0	mouneaAME
5	1	1	1	9	3	715	487	20	9	26	ed
4	1	1	1	10	0	71	498	665	17	-1	
5	1	1	1	10	1	71	500	41	15	41	he
5	1	1	1	10	2	165	501	19	9	24	Aa
5	1	1	1	10	3	244	503	5	4	38	4
5	1	1	1	10	4	302	500	15	8	20	on
5	1	1	1	10	5	381	501	7	7	0	e
5	1	1	1	10	6	516	499	43	9	32	ere
5	1	1	1	10	7	695	498	41	8	9	mee
4	1	1	1	11	0	65	508	669	11	-1	
5	1	1	1	11	1	65	509	322	10	10	irae
5	1	1	1	11	2	520	511	33	8	51	ee
5	1	1	1	11	3	717	508	17	9	21	te
4	1	1	1	12	0	65	505	694	45	-1	
5	1	1	1	12	1	65	515	15	29	0	B
5	1	1	1	12	2	485	505	77	34	0	sxametait
5	1	1	1	12	3	695	519	64	31	0	5
4	1	1	1	13	0	46	607	24	10	-1	
5	1	1	1	13	1	46	607	24	10	35	Ad
4	1	1	1	14	0	52	637	9	10	-1	
5	1	1	1	14	1	52	637	9	10	0	B
4	1	1	1	15	0	31	795	48	14	-1	
5	1	1	1	15	1	31	795	48	14	11	ie
4	1	1	1	16	0	33	801	49	54	-1	
5	1	1	1	16	1	33	818	1	4	21	i
5	1	1	1	16	2	47	801	35	54	41	a
4	1	1	1	17	0	33	928	26	34	-1	
5	1	1	1	17	1	33	928	26	34	24	Ht
4	1	1	1	18	0	49	944	24	28	-1	
5	1	1	1	18	1	49	944	24	28	62	Aq
4	1	1	1	19	0	35	983	25	10	-1	
5	1	1	1	19	1	35	983	25	10	8	ite
