level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1545	2000	-1	
2	1	1	0	0	0	119	245	1306	1686	-1	
3	1	1	1	0	0	123	245	1302	1686	-1	
4	1	1	1	1	0	123	245	1013	31	-1	
5	1	1	1	1	1	123	249	163	23	0	PatientRegnNo
5	1	1	1	1	2	876	245	75	31	0	BillNo
5	1	1	1	1	3	1115	249	21	18	36	if
4	1	1	1	2	0	119	268	1123	46	-1	
5	1	1	1	2	1	119	268	138	46	0	PatientName
5	1	1	1	2	2	591	303	5	2	13	.
5	1	1	1	2	3	876	268	89	46	0	BillDato
5	1	1	1	2	4	1115	286	127	19	0	S19/Npene
4	1	1	1	3	0	119	319	999	32	-1	
5	1	1	1	3	1	119	319	166	32	0	AdmissionDate
5	1	1	1	3	2	422	323	190	19	0	04/11/202501117
5	1	1	1	3	3	881	319	87	32	96	Sponsor
4	1	1	1	4	0	581	459	844	31	-1	
5	1	1	1	4	1	581	463	211	18	0	Iss/retDtBatch
5	1	1	1	4	2	884	463	97	23	0	ExpDate
5	1	1	1	4	3	1117	459	47	31	94	Qty
5	1	1	1	4	4	1227	459	68	31	95	Gross
5	1	1	1	4	5	1387	463	38	18	96	Net
4	1	1	1	5	0	123	502	315	23	-1	
5	1	1	1	5	1	123	502	315	23	76	Drugs/Surgical/Consumables
4	1	1	1	6	0	157	537	1135	24	-1	
5	1	1	1	6	1	157	537	386	24	0	POLYVOLPRO150ML(REF-14516)
5	1	1	1	6	2	1224	538	68	18	91	678.76
4	1	1	1	7	0	153	534	1271	56	-1	
5	1	1	1	7	1	153	534	122	56	0	POLYMED
5	1	1	1	7	2	610	551	344	24	0	05/11/20252512671BApe-30
5	1	1	1	7	3	1106	552	55	18	91	2NO
5	1	1	1	7	4	1356	552	68	18	75	678.76
4	1	1	1	8	0	157	605	1135	19	-1	
5	1	1	1	8	1	157	605	345	18	0	INTRACATHNO-26POLYMED
5	1	1	1	8	2	1224	605	68	19	85	339.38
4	1	1	1	9	0	156	619	1267	35	-1	
5	1	1	1	9	1	156	635	119	19	15	On
5	1	1	1	9	2	610	619	344	24	0	05/11/20253184325EApr-30
5	1	1	1	9	3	1106	620	55	18	89	2NO
